"Volcano_Number","Volcano_Name","Country","Elevation_(m)","Tectonic_Setting","eruption_count","risk_score"
210010,"West Eifel Volcanic Field","Germany",600,"Rift zone / Continental crust (>25 km)",2,2
210020,"Chaine des Puys","France",1464,"Rift zone / Continental crust (>25 km)",8,8
210030,"Olot Volcanic Field","Spain",893,"Intraplate / Continental crust (>25 km)",0,0
210040,"Calatrava Volcanic Field","Spain",1117,"Intraplate / Continental crust (>25 km)",1,1
211004,"Colli Albani","Italy",949,"Subduction zone / Continental crust (>25 km)",0,0
211010,"Campi Flegrei","Italy",458,"Subduction zone / Continental crust (>25 km)",20,20
211020,"Vesuvius","Italy",1281,"Subduction zone / Continental crust (>25 km)",54,54
211030,"Ischia","Italy",789,"Subduction zone / Continental crust (>25 km)",23,23
211031,"Palinuro","Italy",-70,"Subduction zone / Continental crust (>25 km)",1,1
211040,"Stromboli","Italy",924,"Subduction zone / Continental crust (>25 km)",22,22
211041,"Panarea","Italy",399,"Subduction zone / Continental crust (>25 km)",0,0
211042,"Lipari","Italy",590,"Subduction zone / Continental crust (>25 km)",3,3
211050,"Vulcano","Italy",500,"Subduction zone / Continental crust (>25 km)",37,37
211060,"Etna","Italy",3357,"Subduction zone / Continental crust (>25 km)",147,147
211070,"Campi Flegrei del Mar di Sicilia","Italy",-8,"Rift zone / Continental crust (>25 km)",6,6
211071,"Pantelleria","Italy",836,"Rift zone / Continental crust (>25 km)",7,7
211080,"Marsili","Italy",-779,NA,2,2
212020,"Methana","Greece",380,"Subduction zone / Continental crust (>25 km)",1,1
212030,"Milos","Greece",751,"Subduction zone / Continental crust (>25 km)",1,1
212040,"Santorini","Greece",367,"Subduction zone / Continental crust (>25 km)",11,11
212042,"Kolumbo","Greece",-18,NA,1,1
212050,"Nisyros","Greece",698,"Subduction zone / Continental crust (>25 km)",4,4
213000,"Kula","Turkiye",750,"Intraplate / Continental crust (>25 km)",0,0
213002,"Hasandag-Keciboyduran Volcanic Complex","Turkiye",3253,"Intraplate / Continental crust (>25 km)",0,0
213010,"Erciyes Volcanic Complex","Turkiye",3864,"Intraplate / Continental crust (>25 km)",1,1
213011,"Karaca Dag","Turkiye",1957,"Intraplate / Continental crust (>25 km)",0,0
213020,"Nemrut Dagi","Turkiye",2948,"Intraplate / Continental crust (>25 km)",26,26
213030,"Tenduruk Dagi","Turkiye",3514,"Intraplate / Continental crust (>25 km)",2,2
213040,"Ararat","Turkiye",5165,"Intraplate / Continental crust (>25 km)",3,3
214010,"Elbrus","Russia",5642,"Intraplate / Continental crust (>25 km)",1,1
214020,"Kazbek","Georgia",5050,"Intraplate / Continental crust (>25 km)",2,2
